Field,Value
Project Name,PRISM Validator
Repository URL,https://github.com/MRI-Lab-Graz/prism-studio
Primary Contact Name,Karl Koschutnig
Primary Contact Email,karl.koschutnig@uni-graz.at
Organization Name,MRI-Lab Graz (University of Graz)
Organization Type,Academic / Research lab
Project Description,"PRISM is a BIDS-inspired validator and metadata framework for psychological experiment datasets. It validates dataset structure and rich JSON sidecar metadata (surveys, biometrics) and provides a web UI and CLI for dataset validation and conversion."
License,AGPL-3.0
Public Repository,Yes
CI Integration (SignPath workflow),.github/workflows/build.yml (SignPath signing step present)
SignPath Config File,.signpath/SignPathConfig.json
Target Artifact,dist/PrismValidator/PrismValidator.exe
What will be signed,PrismValidator.exe (Windows portable executable)
Reason for signing,"We produce official signed builds for distribution to research IT departments and users. Signed binaries reduce SmartScreen/Defender blocking and increase deployability across institutions. We are an OSI-licensed open-source project (AGPL-3.0) and integrate with SignPath in CI to automatically sign release artifacts when secrets are available."
Intended Use Cases,"Distribution to research groups and institutes, official releases on GitHub Releases, support for IT department deployment policies"
Expected Frequency of Releases,Quarterly (or on-demand for major releases)
Other Maintainers,David <david.psych@yahoo.com>; webernhard <44700123+webernhard@users.noreply.github.com>
Additional Notes,"Contributors have provided written consent for relicensing (RELICENSE_AGREEMENT.md in repo). We will add SignPath secrets to GitHub once approved and are happy to provide any additional verification documents."
